id,校区,教室,类别,是否排课,容量,教学楼
3797,成都,2-603,实验室,是,30,2
3796,成都,2-605,实验室,是,30,2
4868,成都,2-607,实验室,否,30,2
3492,成都,3-109B,实验室,是,40,无
3352,成都,4-A106,多媒体,是,266,第4教学楼A区
3358,成都,4-A109,多媒体,是,158,第4教学楼A区
3360,成都,4-A203,多媒体,是,196,第4教学楼A区
3364,成都,4-A208,多媒体,是,266,第4教学楼A区
3366,成都,4-A303,多媒体,是,196,第4教学楼A区
3368,成都,4-A305,多媒体,是,196,第4教学楼A区
3370,成都,4-A307,多媒体,是,158,第4教学楼A区
3371,成都,4-A308,多媒体,是,158,第4教学楼A区
3373,成都,4-A403,多媒体,是,198,第4教学楼A区
3375,成都,4-A406,多媒体,是,266,第4教学楼A区
3376,成都,4-A407,多媒体,是,158,第4教学楼A区
3378,成都,4-A409,多媒体,是,158,第4教学楼A区
3383,成都,4-B105,多媒体,是,116,第4教学楼B区
3487,成都,4-B106,多媒体,是,149,第4教学楼B区
3488,成都,4-B108,多媒体,是,147,第4教学楼B区
3388,成都,4-B205,多媒体,是,116,第4教学楼B区
3390,成都,4-B207,多媒体,是,116,第4教学楼B区
3392,成都,4-B209,多媒体,是,116,第4教学楼B区
3453,成都,4-B402,多媒体,是,143,第4教学楼B区
3457,成都,4-B407,多媒体,是,116,第4教学楼B区
3458,成都,4-B408,多媒体,是,147,第4教学楼B区
3405,成都,4-B504,多媒体,是,149,第4教学楼B区
3409,成都,4-B508,多媒体,是,147,第4教学楼B区
3410,成都,4-B509,多媒体,是,67,第4教学楼B区
3420,成都,4-B610,多媒体,是,70,第4教学楼B区
3829,成都,4-C105,多媒体,是,130,第4教学楼C区
3830,成都,4-C106,多媒体,是,148,第4教学楼C区
3832,成都,4-C108,多媒体,是,148,第4教学楼C区
3866,成都,4-C202,实验室,否,90,第4教学楼C区
3838,成都,4-C204,多媒体,否,147,第4教学楼C区
3839,成都,4-C205,多媒体,否,130,第4教学楼C区
3836,成都,4-C206,多媒体,否,147,第4教学楼C区
4731,成都,4-C402,实验室,是,75,4
3495,成都,4-C408,实验室,否,75,第4教学楼C区
3496,成都,4-C409,实验室,否,60,第4教学楼C区
3757,成都,5-324,实验室,是,42,5
3779,成都,5-627,实验室,是,58,五教
4705,成都,6-118,实验室,是,56,6
4728,成都,7-405,实验室,是,60,7
4755,成都,木工车间03,实验室,是,40,木工车间
3582,都江堰,1219,多媒体,是,169,一教
3596,都江堰,1403,多媒体,是,136,一教
3602,都江堰,1409,多媒体,是,77,一教
3513,都江堰,1503,多媒体,是,136,一教
3512,都江堰,1505,多媒体,是,165,一教
4652,都江堰,2A103,多媒体,是,126,二教
4649,都江堰,2A302,多媒体,是,116,二教
4654,都江堰,2A303,多媒体,是,126,二教
4645,都江堰,2A401,多媒体,是,135,二教
4651,都江堰,2A502,多媒体,是,116,二教
3552,都江堰,4101,多媒体,否,220,四教
3624,都江堰,5501,多媒体,是,101,五教
5011,都江堰,5606,实验室,是,60,五教
4834,都江堰,都江堰_校区外,实验室,否,85,校区外
3541,都江堰,图书馆报告厅,多媒体,是,410,图书馆
4532,雅安,10-a1005,实验室,是,35,10教A区
3150,雅安,10-A104,多媒体,是,188,10教A区
3151,雅安,10-A202,多媒体,是,188,10教A区
3068,雅安,10-A204,多媒体,是,188,10教A区
3152,雅安,10-A212,多媒体,是,142,10教A区
3072,雅安,10-A302,多媒体,是,188,10教A区
3073,雅安,10-A304,多媒体,是,188,10教A区
3076,雅安,10-A312,多媒体,是,131,10教A区
2897,雅安,10-A403,多媒体,是,260,10教A区
3196,雅安,10-A404,多媒体,是,188,10教A区
3197,雅安,10-A409,多媒体,是,110,10教A区
3156,雅安,10-A410,多媒体,是,115,10教A区
3157,雅安,10-A411,多媒体,是,101,10教A区
3158,雅安,10-A412,多媒体,是,92,10教A区
3160,雅安,10-A515,语音室,是,49,10教A区
3023,雅安,10-A517,语音室,是,40,10教A区
2898,雅安,10-A604,多媒体,是,135,10教A区
3083,雅安,10-A608,多媒体,是,123,10教A区
3084,雅安,10-A708,多媒体,是,123,10教A区
3149,雅安,10-B203,多媒体,是,243,10教B区
3036,雅安,10-B209,多媒体,是,157,10教B区
3240,雅安,10-B210,多媒体,是,145,10教B区
3249,雅安,10-B211,多媒体,是,149,10教B区
3250,雅安,10-B212,多媒体,是,156,10教B区
3037,雅安,10-B213,多媒体,是,129,10教B区
4537,雅安,10-B301,实验室,是,64,10教B区
4542,雅安,10-B308,实验室,是,50,10教B区
4545,雅安,10-B315,实验室,是,48,10教B区
3176,雅安,10-B401,多媒体,是,174,10教B区
3177,雅安,10-B403,多媒体,是,174,10教B区
3238,雅安,10-B508,语音室,是,80,10教B区
4842,雅安,11-107,实验室,否,30,11
4564,雅安,11-221,实验室,是,70,11教
2892,雅安,1-203,多媒体,是,60,1教
2893,雅安,1-204,多媒体,是,60,1教
3147,雅安,1-212,多媒体,是,75,1教
4619,雅安,12-405,实验室,是,36,12教
4629,雅安,12-615,实验室,是,35,12教
4691,雅安,12-616,实验室,否,30,12教
3054,雅安,1-511,多媒体,是,151,1教
4669,雅安,3-102,实验室,是,30,3教
4399,雅安,4-310,实验室,是,35,4教
4898,雅安,4-312,实验室,否,45,4教
4421,雅安,4-618,实验室,是,40,4教
4923,雅安,6-104,实验室,否,20,6教
4478,雅安,6-407,实验室,是,45,6教
4496,雅安,7-508,实验室,是,45,7教
4911,雅安,7-614,实验室,否,40,7教
4946,雅安,武术馆1,体育馆,是,50,体育馆
4978,雅安,武术馆2,体育馆,是,50,体育馆
4679,雅安,艺术楼4-07,实验室,是,35,艺术楼
